season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2019,LB,14148,"Sweat, Montez",LB,WAS,1,2019-09-01,2019-09-05,2019-12-23,16,0012,Hawks,TAXI_SQUAD,2000,3,Rookie GF,,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K",0,0,0,0,0,,3,1,1,6000,0,0,0,3,6000,2000,{},0,0,1,2000,0,2000,2000,2000,4000,2019-12-23,0,tcv_div_cl,1,change_category_manual_review,2018,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:53
2020,LB,14148,"Sweat, Montez",LB,WAS,1,2020-09-01,2020-09-10,2020-12-28,16,,,,0,0,,,,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2020-12-28,0,,0,,2019,16,0012,Hawks,ROSTER,2000,3,Rookie GF,,3,6000,2000,{},0,0,tcv_div_cl,0,1,1,0,0,missing_week1_snapshot,,,missing_week1_snapshot,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:57
2020,LB,14212,"Takitaki, Sione",LB,CLE,1,2020-09-01,2020-09-10,2020-12-28,16,0011,Cleon Ca$h,ROSTER,1000,1,WW,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2020-12-28,0,tcv_div_cl,0,,2019,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2020-08-24,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2020-08-24,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:12:57
2022,LB,15806,"Thibodeaux, Kayvon",LB,NYG,1,2022-09-01,2022-09-08,2023-01-02,17,0007,Sex Manther,TAXI_SQUAD,2000,3,Rookie,CL 3| TCV 6K| AAV 2K,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K",0,0,0,0,0,,3,0,0,6000,0,0,0,3,6000,2000,{},0,0,1,2000,0,2000,2000,2000,4000,2023-01-02,0,aav_token_1,1,change_category_manual_review,2021,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,4,2022-08-19,trade2022_39,0,current,2026-04-21 22:13:10
2023,LB,15806,"Thibodeaux, Kayvon",LB,NYG,1,2023-09-01,2023-09-07,2023-12-31,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2023-12-31,0,,0,,2022,23,0007,Sex Manther,TAXI_SQUAD,2000,3,Rookie,CL 3| TCV 6K| AAV 2K,3,6000,2000,{},0,0,aav_token_1,0,1,1,0,0,missing_week1_snapshot,,,missing_week1_snapshot,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:13:26
2020,LB,12231,"Thompson, Shaq",LB,CAR,1,2020-09-01,2020-09-10,2020-12-28,16,0003,Gride,ROSTER,1000,1,WW,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2020-12-28,0,tcv_div_cl,0,,2019,16,0005,Run CMC,ROSTER,2000,1,WW,,1,2000,2000,{},0,0,tcv_div_cl,0,0,0,0,0,fa_auction,2020-08-21,AUCTION:FreeAgent,fa_auction | last_drop=2020-03-17 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,2000,2020-08-21,1,2020-03-17,Run CMC,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:12:57
2021,LB,12231,"Thompson, Shaq",LB,CAR,1,2021-09-01,2021-09-09,2022-01-03,17,0009,C-Town Chivalry,ROSTER,1000,1,WW,CL 1|,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2022-01-03,0,tcv_div_cl,0,,2020,22,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2021-08-10,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2021-08-10,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:13:04
2022,LB,12231,"Thompson, Shaq",LB,CAR,1,2022-09-01,2022-09-08,2023-01-02,17,0008,#BLM,ROSTER,1000,1,WW,CL 1,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2023-01-02,0,tcv_div_cl,0,,2021,23,0009,C-Town Chivalry,ROSTER,1000,1,WW,CL 1|,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,week1_not_under_contract,,,week1_not_under_contract | last_drop=2022-03-10 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2022-03-10,C-Town Chivalry,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:13:10
2025,LB,16236,"To'oTo'o, Henry",LB,HOU,1,2025-08-31,2025-09-04,2025-12-29,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2025-12-29,0,,0,,2024,23,0008,Real Deal Creel,ROSTER,1000,1,WW,CL 1|,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,dropped_off_roster,,,dropped_off_roster | last_drop=2025-02-18 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2025-02-18,Real Deal Creel,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:13:42
2023,LB,14235,"Tranquill, Drue",LB,KCC,1,2023-09-01,2023-09-07,2023-12-31,17,0003,Gride,ROSTER,1000,1,WW,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2023-12-31,0,tcv_div_cl,0,,2022,23,0010,Blake Bombers,ROSTER,3000,1,WW,CL 1,1,3000,3000,{},0,0,tcv_div_cl,0,0,0,0,0,fa_auction,2023-08-05,AUCTION:FreeAgent,fa_auction | last_drop=2023-02-22 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2023-08-05,1,2023-02-22,Blake Bombers,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:13:26
2017,LB,10879,"Trevathan, Danny",LB,CHI,1,2017-09-01,2017-09-07,2017-12-25,16,0001,Ulterior Warrior,ROSTER,5000,1,STANDARD,,CL 1| TCV 5K| AAV 5K| Y1-5K,0,0,0,0,0,,1,0,1,5000,0,0,0,1,5000,5000,{},0,0,1,5000,0,5000,5000,5000,0,2017-12-25,0,tcv_div_cl,1,change_category_manual_review,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:43
2018,LB,10879,"Trevathan, Danny",LB,CHI,1,2018-09-01,2018-09-06,2018-12-24,16,0004,Pure Greatness,ROSTER,1000,1,Veteran,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,1,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2018-12-24,0,tcv_div_cl,0,,2017,16,0001,Ulterior Warrior,ROSTER,5000,1,STANDARD,,1,5000,5000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2018-08-14,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2018-08-14,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:49
2019,LB,10879,"Trevathan, Danny",LB,CHI,1,2019-09-01,2019-09-05,2019-12-23,16,0008,#BLM,ROSTER,1000,1,WW,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2019-12-23,0,tcv_div_cl,0,,2018,16,0003,Gride,ROSTER,1000,1,Veteran,,1,1000,1000,{},0,0,tcv_div_cl,0,1,0,1,0,fa_auction,2019-08-23,AUCTION:FreeAgent,fa_auction | last_drop=2019-04-29 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2019-08-23,1,2019-04-29,Gride,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:12:53
2020,LB,10879,"Trevathan, Danny",LB,CHI,1,2020-09-01,2020-09-10,2020-12-28,16,0008,#BLM,ROSTER,1000,1,WW,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2020-12-28,0,tcv_div_cl,0,,2019,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2020-08-24,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2020-08-24,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:12:57
2021,LB,15379,"Tryon, Joe",LB,TBB,1,2021-09-01,2021-09-09,2022-01-03,17,0011,Cleon Ca$h,TAXI_SQUAD,1000,3,Rookie,CL 3| TCV 3K,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,0,,3,0,0,3000,0,0,0,3,3000,1000,{},0,0,1,1000,0,1000,1000,1000,2000,2022-01-03,0,tcv_div_cl,1,change_category_manual_review,2020,22,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:13:04
2022,LB,15379,"Tryon, Joe",LB,TBB,1,2022-09-01,2022-09-08,2023-01-02,17,0011,Cleon Ca$h,TAXI_SQUAD,1000,2,Rookie,CL 3| TCV 3K,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,0,,2,0,0,3000,0,0,0,3,3000,1000,{},0,0,2,1000,1000,1000,1000,1000,2000,2023-01-02,0,tcv_div_cl,0,,2021,23,0011,Cleon Ca$h,TAXI_SQUAD,1000,3,Rookie,CL 3| TCV 3K,3,3000,1000,{},0,0,tcv_div_cl,0,1,1,0,1,carryover_contract,2022-03-01,ROLLOVER_BASELINE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:13:10
2023,LB,15379,"Tryon, Joe",LB,TBB,1,2023-09-01,2023-09-07,2023-12-31,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,1000,0,2023-12-31,0,,0,,2022,23,0011,Cleon Ca$h,TAXI_SQUAD,1000,2,Rookie,CL 3| TCV 3K,3,3000,1000,{},0,0,tcv_div_cl,1000,1,1,0,0,missing_week1_snapshot,,,missing_week1_snapshot,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:13:26
2020,LB,14925,"Uche, Josh",LB,NEP,1,2020-09-01,2020-09-10,2020-12-28,16,0004,Pure Greatness,TAXI_SQUAD,1000,3,Rookie,TCV 3K,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,0,,3,0,0,3000,0,0,0,3,3000,1000,{},0,0,1,1000,0,1000,1000,1000,2000,2020-12-28,0,tcv_div_cl,1,change_category_manual_review,2019,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:12:57
2021,LB,14925,"Uche, Josh",LB,NEP,1,2021-09-01,2021-09-09,2022-01-03,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2022-01-03,0,,0,,2020,22,0008,#BLM,TAXI_SQUAD,1000,3,Rookie,TCV 3K,3,3000,1000,{},0,0,tcv_div_cl,0,1,1,0,0,missing_week1_snapshot,,,missing_week1_snapshot,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:13:04
2023,LB,14925,"Uche, Josh",LB,NEP,1,2023-09-01,2023-09-07,2023-12-31,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2023-12-31,0,,0,,2022,23,0003,Gride,ROSTER,1000,1,WW,CL 1,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,missing_week1_snapshot,,,missing_week1_snapshot,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:13:26
2019,LB,11723,"Van Noy, Kyle",LB,NEP,1,2019-09-01,2019-09-05,2019-12-23,16,0004,Pure Greatness,ROSTER,1000,1,WW,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2019-12-23,0,tcv_div_cl,0,,2018,16,0011,Cleon Ca$h,ROSTER,1000,1,Veteran,,1,1000,1000,{},0,0,tcv_div_cl,0,1,0,1,0,fa_auction,2019-08-25,AUCTION:FreeAgent,fa_auction | last_drop=2019-03-03 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2019-08-25,1,2019-03-03,Cleon Ca$h,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:12:53
2020,LB,11723,"Van Noy, Kyle",LB,NEP,1,2020-09-01,2020-09-10,2020-12-28,16,,,,0,0,,,,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2020-12-28,0,,0,,2019,16,0004,Pure Greatness,ROSTER,1000,1,WW,,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,dropped_off_roster,,,dropped_off_roster | last_drop=2020-03-24 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2020-03-24,Pure Greatness,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:12:57
2021,LB,11723,"Van Noy, Kyle",LB,MIA,1,2021-09-01,2021-09-09,2022-01-03,17,,,,0,0,,,,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2022-01-03,0,,0,,2020,22,0001,Ulterior Warrior,ROSTER,1000,1,WW,,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,dropped_off_roster,,,dropped_off_roster | last_drop=2021-06-01 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2021-06-01,Ulterior Warrior,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:13:04
2022,LB,11723,"Van Noy, Kyle",LB,NEP,1,2022-09-01,2022-09-08,2023-01-02,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2023-01-02,0,,0,,2021,23,0007,Sex Manther,ROSTER,4000,1,WW,CL 1|,1,4000,4000,{},0,0,tcv_div_cl,0,0,0,0,0,dropped_off_roster,,,dropped_off_roster | last_drop=2022-02-23 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2022-02-23,Sex Manther,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:13:10
2018,LB,13727,"Vander Esch, Leighton",LB,DAL,1,2018-09-01,2018-09-06,2018-12-24,16,0011,Cleon Ca$h,TAXI_SQUAD,2000,3,Rookie,,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K",0,0,0,0,0,,3,0,1,6000,0,0,0,3,6000,2000,{},0,0,1,2000,0,2000,2000,2000,4000,2018-12-24,0,tcv_div_cl,1,change_category_manual_review,2017,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:49
2019,LB,13727,"Vander Esch, Leighton",LB,DAL,1,2019-09-01,2019-09-05,2019-12-23,16,0011,Cleon Ca$h,ROSTER,2000,2,Rookie GF,,"CL 2| TCV 4K| AAV 2K| Y1-2K, Y2-2K",0,0,0,0,0,,2,1,1,4000,0,0,0,2,4000,2000,{},0,0,1,2000,0,2000,2000,2000,2000,2019-12-23,0,tcv_div_cl,0,,2018,16,0011,Cleon Ca$h,TAXI_SQUAD,2000,3,Rookie,,3,6000,2000,{},0,0,tcv_div_cl,0,1,1,0,1,carryover_contract,2019-03-01,ROLLOVER_BASELINE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:53
2020,LB,13727,"Vander Esch, Leighton",LB,DAL,1,2020-09-01,2020-09-10,2020-12-28,16,0010,Blake Bombers,ROSTER,2000,1,Rookie GF,,CL 1| TCV 2K| AAV 2K| Y1-2K,0,0,0,0,0,,1,1,1,2000,0,0,0,1,2000,2000,{},0,0,1,2000,0,2000,2000,2000,0,2020-12-28,0,tcv_div_cl,0,,2019,16,0010,Blake Bombers,ROSTER,2000,2,Rookie GF,,2,4000,2000,{},0,0,tcv_div_cl,0,1,1,0,1,carryover_contract,2020-03-01,ROLLOVER_BASELINE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:57
2021,LB,13727,"Vander Esch, Leighton",LB,DAL,1,2021-09-01,2021-09-09,2022-01-03,17,,,,0,0,,,,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2022-01-03,0,,0,,2020,22,0010,Blake Bombers,ROSTER,2000,1,Rookie GF,,1,2000,2000,{},0,0,tcv_div_cl,0,1,0,1,0,dropped_off_roster,,,dropped_off_roster | last_drop=2021-06-01 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2021-06-01,Blake Bombers,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,legacy,2026-04-21 22:13:04
2019,LB,10815,"Vernon, Olivier",LB,NYG,1,2019-09-01,2019-09-05,2019-12-23,16,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2019-12-23,0,,0,,2018,16,0009,C-Town Chivalry,ROSTER,3000,1,Veteran,,1,3000,3000,{},0,0,tcv_div_cl,0,1,0,1,0,missing_week1_snapshot,,,missing_week1_snapshot,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:12:53
2019,LB,12762,"Vigil, Nick",LB,CIN,1,2019-09-01,2019-09-05,2019-12-23,16,0010,Blake Bombers,ROSTER,1000,1,WW,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2019-12-23,0,tcv_div_cl,0,,2018,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2019-08-24,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,2000,2019-08-24,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:12:53
2017,LB,10775,"Wagner, Bobby",LB,SEA,1,2017-09-01,2017-09-07,2017-12-25,16,0001,Ulterior Warrior,ROSTER,7000,1,STANDARD,,CL 1| TCV 7K| AAV 7K| Y1-7K,0,0,0,0,0,,1,0,1,7000,0,0,0,1,7000,7000,{},0,0,1,7000,0,7000,7000,7000,0,2017-12-25,0,tcv_div_cl,0,,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,fa_auction,2017-08-07,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,7000,2017-08-07,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:43
2018,LB,10775,"Wagner, Bobby",LB,SEA,1,2018-09-01,2018-09-06,2018-12-24,16,0007,Sex Manther,ROSTER,8000,1,Veteran,,CL 1| TCV 8K| AAV 8K| Y1-8K,0,0,0,0,0,,1,0,1,8000,0,0,0,1,8000,8000,{},0,0,1,8000,0,8000,8000,8000,0,2018-12-24,0,tcv_div_cl,0,,2017,16,0001,Ulterior Warrior,ROSTER,7000,1,STANDARD,,1,7000,7000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2018-08-06,AUCTION:FreeAgent,fa_auction | last_drop=2018-05-03 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,8000,2018-08-06,1,2018-05-03,Ulterior Warrior,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:49
2019,LB,10775,"Wagner, Bobby",LB,SEA,1,2019-09-01,2019-09-05,2019-12-23,16,0006,Good in Da Hood,ROSTER,14000,1,Veteran,,CL 1| TCV 14K| AAV 14K| Y1-14K,0,0,0,0,0,,1,0,0,14000,0,0,0,1,14000,14000,{},0,0,1,14000,0,14000,14000,14000,0,2019-12-23,0,tcv_div_cl,0,,2018,16,0007,Sex Manther,ROSTER,8000,1,Veteran,,1,8000,8000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2019-08-19,AUCTION:FreeAgent,fa_auction | last_drop=2019-03-03 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,14000,2019-08-19,2,2019-03-03,Sex Manther,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:12:53
2020,LB,10775,"Wagner, Bobby",LB,SEA,1,2020-09-01,2020-09-10,2020-12-28,16,0006,Good in Da Hood,ROSTER,8000,2,FL,"TCV 12K AAV 6K [8K, 4K]","CL 2| TCV 12K| AAV 8K/4K| Y1-8K, Y2-4K",0,0,0,0,0,,2,0,0,12000,0,0,0,2,12000,6000,"{""Y1"":8000,""Y2"":4000}",0,0,1,8000,0,8000,8000,8000,4000,2020-12-28,0,aav_token_1,0,,2019,16,0006,Good in Da Hood,ROSTER,14000,1,Veteran,,1,14000,14000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2020-08-18,AUCTION:FreeAgent,fa_auction | last_drop=2020-04-27 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,6000,2020-08-18,2,2020-04-27,Good in Da Hood,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:12:57
2021,LB,10775,"Wagner, Bobby",LB,SEA,1,2021-09-01,2021-09-09,2022-01-03,17,0002,The Bash Bros,ROSTER,4000,1,FL,CL 2| TCV 12K| AAV 6K| L 8K,"CL 2| TCV 12K| AAV 4K/6K| Y1-4K, Y2-6K",0,0,0,0,0,,1,0,0,12000,0,0,0,2,12000,6000,{},0,0,2,6000,6000,6000,6000,6000,6000,2022-01-03,0,aav_token_1,0,,2020,22,0006,Good in Da Hood,ROSTER,8000,2,FL,"TCV 12K AAV 6K [8K, 4K]",2,12000,6000,"{""Y1"":8000,""Y2"":4000}",0,0,aav_token_1,0,1,1,0,1,carryover_contract,2021-08-14,TRADE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,4,2021-08-14,trade2021_46,0,current,2026-04-21 22:13:04
2022,LB,10775,"Wagner, Bobby",LB,LAR,1,2022-09-01,2022-09-08,2023-01-02,17,0001,Ulterior Warrior,ROSTER,5000,1,WW,CL 1,CL 1| TCV 5K| AAV 5K| Y1-5K,0,0,0,0,0,,1,0,0,0,0,0,0,1,5000,5000,{},0,0,1,5000,0,5000,5000,11000,0,2023-01-02,0,tcv_div_cl,0,,2021,23,0002,The Bash Bros,ROSTER,4000,1,FL,CL 2| TCV 12K| AAV 6K| L 8K,2,12000,6000,{},0,0,aav_token_1,6000,1,0,1,0,fa_auction,2022-08-03,AUCTION:FreeAgent,fa_auction | last_drop=2022-05-02 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,9000,2022-08-03,1,2022-05-02,The Bash Bros,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:13:10
